Field of Dreams,1989,PG,05 May 1989,107 min,"Drama, Family, Fantasy",Phil Alden Robinson,"W.P. Kinsella, Phil Alden Robinson","Kevin Costner, James Earl Jones, Ray Liotta","Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",English,United States,Nominated for 3 Oscars. 8 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNzk5OWY0YjAtYWU3ZS00Y2Q4LWFlNjItMzgwMTQ2MjIyMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Man Who Would Be King,1975,PG,19 Dec 1975,129 min,"Adventure, War",John Huston,"John Huston, Gladys Hill, Rudyard Kipling","Sean Connery, Michael Caine, Christopher Plummer","Two former British soldiers in 1880s India decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.","English, Arabic, Urdu","United Kingdom, United States",Nominated for 4 Oscars. 9 nominations total,https://m.media-amazon.com/images/M/MV5BZWQzYjBjZmQtZDFiOS00ZDQ1LWI4MDAtMDk1NGE1NDBhYjNhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Butch Cassidy and the Sundance Kid,1969,PG,24 Sep 1969,110 min,"Biography, Crime, Drama",George Roy Hill,William Goldman,"Paul Newman, Robert Redford, Katharine Ross","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","English, Spanish","United States, Mexico",Won 4 Oscars. 22 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_SX300.jpg
"Paris, Texas",1984,R,23 Aug 1984,145 min,Drama,Wim Wenders,"L.M. Kit Carson, Sam Shepard, Walter Donohue","Harry Dean Stanton, Nastassja Kinski, Dean Stockwell","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","English, Spanish","West Germany, France, United Kingdom, United States",Won 1 BAFTA Award16 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg
Until the End of the World,1991,R,25 Dec 1991,158 min,"Action, Drama, Sci-Fi",Wim Wenders,"Peter Carey, Wim Wenders, Solveig Dommartin","William Hurt, Solveig Dommartin, Pietro Falcone","In 1999, Claire's life is forever changed after she survives a car crash. She rescues Sam and starts traveling around the world with him. Writer Eugene follows them and writes their story, as a way of recording dreams is being inv...","English, French, Italian, Japanese, German","Germany, France, Australia, United States",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BODlmZTFlNDgtMmQxYy00N2M2LTg3Y2YtNDllMmQzMTg4YjBjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
When Harry Met Sally...,1989,R,21 Jul 1989,95 min,"Comedy, Drama, Romance",Rob Reiner,Nora Ephron,"Billy Crystal, Meg Ryan, Carrie Fisher","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",English,United States,Nominated for 1 Oscar. 5 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg
Hype!,1996,Not Rated,08 Nov 1996,84 min,"Documentary, History, Music",Doug Pray,N/A,"7 Year Bitch, Valerie M. Agnew, Carrie Akre","Documentary covering the growth and subsequent overexposure of the Seattle ""grunge"" music scene in the early 90s",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTMxMDA3MjQyOF5BMl5BanBnXkFtZTcwMDczNjcyMQ@@._V1_SX300.jpg
Female Perversions,1996,R,25 Apr 1997,120 min,"Drama, Fantasy, Thriller",Susan Streitfeld,"Louise J. Kaplan, Julie Hébert, Susan Streitfeld","Tilda Swinton, Amy Madigan, Karen Sillas","An ambitious female attorney wallows in excess and meaningless sex with both male and female partners, while dealing with her personal life problems including helping her kleptomaniac sister.",English,"Germany, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BMWEwNTdlZTktYWNlMC00MWUyLWFiYjQtNjNjOWMxMjZhNjk5XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Blue Juice,1995,R,15 Sep 1995,90 min,"Comedy, Drama, Romance",Carl Prechezer,"Peter Salmi, Carl Prechezer, Tim Veglio","Sean Pertwee, Catherine Zeta-Jones, Ewan McGregor","JC thinks surfing is everything. His girlfriend Chloe wants him to settle down. When he decides to go surfing one night with friends from London, she throws JC out. Surfing or Chloe?",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTA0ZDk0ZWMtMTcxNC00NjY1LWFmNTMtNzM0MjkzMzY2ZTNjXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg
Alien³,1992,R,22 May 1992,114 min,"Action, Horror, Sci-Fi",David Fincher,"Dan O'Bannon, Ronald Shusett, Vincent Ward","Sigourney Weaver, Charles S. Dutton, Charles Dance","Returning from LV-426, Ellen Ripley crash-lands on the maximum-security prison Fiorina 161, where she discovers that she has unwittingly brought along an unwelcome visitor.",English,United States,Nominated for 1 Oscar. 5 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BYTNiYmQzNTctNzAyZC00ODY2LWE3ZjgtODU1NDA0NGI5ZDY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
